Name,Link,Family,Thickness(%),x-Location_of_Max_Thk(%),Camber(%),Data_Sources,Cl_Max,Cl/Cd_Max,Cd@Cl=0.1,Cd@Cl=0.4,Cd@Cl=0.6
NACA67-316 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=f2fd3c52-2402-4128-80cd-f7f154c3c201"" target=""_blank"">NACA67-316 a=0.8</a>",NACA 67-series,16.0,47.9,1.8,JF XF,1.42,174,0.004,0.004,0.004
NACA67-317 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=75c3ad3a-e401-49d6-b517-78f6a14f8de4"" target=""_blank"">NACA67-317 a=0.0</a>",NACA 67-series,17.0,47.9,1.5,JF XF,1.43,100,0.003,0.004,0.006
NACA67-317 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=263869c3-9565-4f3e-acee-99521354ca9f"" target=""_blank"">NACA67-317 a=0.2</a>",NACA 67-series,17.0,47.9,1.6,JF XF,1.45,101,0.003,0.004,0.006
NACA67-317 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=513d08f1-7923-45a9-a939-bf3ebfa4cf23"" target=""_blank"">NACA67-317 a=0.5</a>",NACA 67-series,17.0,47.9,1.9,JF XF,1.46,139,0.004,0.005,0.005
NACA67-317 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=f24f1b6e-caa7-45a7-adea-0bea6cf39aad"" target=""_blank"">NACA67-317 a=0.6</a>",NACA 67-series,17.0,47.9,1.9,JF XF,1.47,160,0.004,0.004,0.004
NACA67-317 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=348cea5d-5fd5-4952-a238-b0af8478dd84"" target=""_blank"">NACA67-317 a=0.8</a>",NACA 67-series,17.0,47.9,1.7,JF XF,1.48,174,0.004,0.004,0.004
NACA67-318 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=ffc49095-639b-43cb-adc9-ae9cc8341338"" target=""_blank"">NACA67-318 a=0.0</a>",NACA 67-series,18.0,47.9,1.4,JF XF,1.48,99,0.003,0.004,0.006
NACA67-318 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=4b7dc081-fa77-40a2-bc6e-0564c63d3098"" target=""_blank"">NACA67-318 a=0.2</a>",NACA 67-series,18.0,47.9,1.6,JF XF,1.50,100,0.003,0.004,0.006
NACA67-318 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=5b3269d1-b4aa-4f3a-aa96-4dc18863622c"" target=""_blank"">NACA67-318 a=0.5</a>",NACA 67-series,18.0,47.9,1.9,JF XF,1.52,138,0.003,0.005,0.005
NACA67-318 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=4fca27d1-567f-41bf-9575-3bf3e5cfb4b9"" target=""_blank"">NACA67-318 a=0.6</a>",NACA 67-series,18.0,47.9,1.8,JF XF,1.52,158,0.003,0.004,0.005
NACA67-318 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=d6b3240a-ea4f-4d3e-a783-e105ab1768d0"" target=""_blank"">NACA67-318 a=0.8</a>",NACA 67-series,18.0,47.9,1.7,JF XF,1.54,172,0.004,0.004,0.004
NACA67-319 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=ae0203b7-deac-440d-a43d-88777f09eafe"" target=""_blank"">NACA67-319 a=0.0</a>",NACA 67-series,19.0,50.0,1.4,JF XF,1.53,106,0.004,0.004,0.006
NACA67-319 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=9f09cddb-514b-4a7e-9bf6-44c234e8e64d"" target=""_blank"">NACA67-319 a=0.2</a>",NACA 67-series,19.0,49.9,1.6,JF XF,1.55,105,0.004,0.004,0.006
NACA67-319 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=aa27e1d0-74de-4ef0-8f55-239f2a8bf24f"" target=""_blank"">NACA67-319 a=0.5</a>",NACA 67-series,19.0,49.9,1.8,JF XF,1.57,135,0.004,0.004,0.005
NACA67-319 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=268c78f2-bfc7-4681-bfb9-41e9343245e8"" target=""_blank"">NACA67-319 a=0.6</a>",NACA 67-series,19.0,47.9,1.8,JF XF,1.58,156,0.004,0.004,0.005
NACA67-319 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=852cc31a-8f94-40d8-bbd5-a7275878caa1"" target=""_blank"">NACA67-319 a=0.8</a>",NACA 67-series,19.0,47.9,1.7,JF XF,1.58,177,0.003,0.004,0.004
NACA67-320 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=39c62800-0f9e-47dc-84a9-ca9e9e925b2c"" target=""_blank"">NACA67-320 a=0.0</a>",NACA 67-series,20.0,50.0,1.3,JF XF,1.58,109,0.004,0.004,0.006
NACA67-320 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=2b0de47c-bb74-45da-ac9b-8613bc1fc015"" target=""_blank"">NACA67-320 a=0.2</a>",NACA 67-series,20.0,49.9,1.5,JF XF,1.60,106,0.004,0.004,0.006
NACA67-320 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=96cdd52d-2fed-4695-a62c-314f4144595b"" target=""_blank"">NACA67-320 a=0.5</a>",NACA 67-series,20.0,49.9,1.8,JF XF,1.62,136,0.004,0.005,0.005
NACA67-320 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=fb59ffe3-6963-41e5-b52c-fe6f33b6780f"" target=""_blank"">NACA67-320 a=0.6</a>",NACA 67-series,20.0,47.9,1.8,JF XF,1.62,157,0.004,0.004,0.005
NACA67-320 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=009f54ce-f8ba-4569-92bb-77a66692c764"" target=""_blank"">NACA67-320 a=0.8</a>",NACA 67-series,20.0,47.9,1.6,JF XF,1.63,176,0.004,0.004,0.004
